buildingnumber,buildingname,campusname,latitude,longitude,solar_potential_score,solar_tier,radiation_score,rooftop_score,shade_score,demand_score,suitability_score,solar_roof_area_m2,solar_max_panel_count,solar_yearly_kwh_dc,solar_sunshine_hours_year,solar_shade_percent,grossarea,floorsaboveground,building_age,total_kwh,solar_demand_offset_pct,weather_shortwave_radiation,weather_cloud_cover,solar_tier_detailed
86,French Field House (0086),Columbus,40.00538261,-83.02040663,57.74624779427116,Top Priority,0.0,0.886955756519705,0.3461176940639269,1.0,0.91,17744.018,7634,4078060.3,1515.9955,65.3882305936073,91588,1.0,70.0,127417.04119527628,3200.5611351075586,175.39594843462243,59.70591620626151,Top Priority
381,Stores and Receiving (0381),Columbus,40.01431382,-83.03555851,57.59198312995151,Top Priority,0.0,0.9221789904273108,0.3374200913242009,1.0,0.852607102852315,12526.547,5778,3251593.0,1477.9,66.2579908675799,124887,1.0,39.0,281121.21355732507,1156.6515948242193,175.39594843462243,59.70591620626151,Top Priority
270,Woody Hayes Athletic Center (0270),Columbus,40.01239261,-83.02438206,56.1966347379553,Top Priority,0.0,0.8814043494560124,0.3297678538812785,1.0,0.837744594928628,15540.277,6781,3620148.5,1444.3832,67.02321461187215,202623,2.0,39.0,880558.7736533717,411.1194628133995,175.39594843462243,59.70591620626151,Top Priority
951,"Kinnear Rd, 1315 (0951)",Columbus,39.9971129,-83.04400189,55.009931478919995,Top Priority,0.0,0.9406529853817264,0.3234690410958905,1.0,0.6682817348306016,9187.581,4441,2502175.0,1416.7944,67.65309589041095,99809,1.0,66.0,242702.6479971866,1030.9632056544374,175.39594843462243,59.70591620626151,Top Priority
211,Adventure Recreation Center (0211),Columbus,40.00268456,-83.03176181,54.93260602662795,Top Priority,0.0,0.8963054168538116,0.3320054109589041,1.0,0.7256574924069721,8032.7354,3581,1989546.1,1454.1837,66.79945890410958,86255,1.0,22.0,439339.7875820369,452.84906039348795,175.39594843462243,59.70591620626151,Top Priority
932,"Kinnear Rd, 1165 (0932)",Columbus,39.99741933,-83.03946659,53.007696021168336,Top Priority,0.0,0.8932139707360988,0.3303157762557079,1.0,0.6047354151767812,9062.047,4029,2256843.3,1446.7831,66.96842237442921,104514,1.0,,168288.55074643844,1341.0557580951552,175.39594843462243,59.70591620626151,Top Priority
161,Ohio Union (0161),Columbus,39.99765973,-83.00864174,51.97162717222635,Excellent,0.0,0.8241659695799464,0.3512573744292237,1.0,0.6228220296095481,9702.284,3700,1987980.0,1538.5073,64.87426255707763,317694,4.0,16.0,974754.0560854096,203.94683023774047,175.39594843462243,59.70591620626151,Excellent
263,Service Building Annex (0263),Columbus,40.01234885,-83.0358935,51.639968905201606,Excellent,0.0,0.8591813891375526,0.335474497716895,1.0,0.5633962814949927,5474.805,2281,1275094.6,1469.3783,66.4525502283105,58446,1.0,61.0,129755.7583157769,982.6882571923304,175.39594843462243,59.70591620626151,Excellent
298,Agricultural Engineering Building (0298),Columbus,40.00551784,-83.02498459,50.90925648882762,Excellent,0.0,0.8072102266174882,0.3265082648401827,1.0,0.6132557017724513,7593.732,2919,1617400.0,1430.1062,67.34917351598173,111496,2.0,39.0,170812.93935598474,946.8837701043468,175.39594843462243,59.70591620626151,Excellent
1320,Waterman - CEARC (1320),Columbus,40.0121487740192,-83.0395958213766,50.599076159946186,Excellent,0.0,0.8981926056508319,0.3401898401826485,1.0,0.4226976143348285,1556.2506,688,381334.25,1490.0315,65.98101598173515,48357,1.0,4.0,40612.84472474947,938.9498632377624,175.39594843462243,59.70591620626151,Excellent
290,Printing Facility (0290),Columbus,40.01138284,-83.03433746,50.343316054924315,Excellent,0.0,0.835417373833286,0.3337466894977169,1.0,0.5188631946091886,3898.4055,1561,850312.75,1461.8105,66.62533105022831,42613,1.0,58.0,310168.3585419563,274.14554920984267,175.39594843462243,59.70591620626151,Excellent
386,Wexner Center for the Arts (0386),Columbus,40.00082115,-83.00948504,49.99746411319074,Very Good,0.0,0.7641179482996436,0.3394946803652968,1.0,0.6069747865595807,8551.344,2950,1479138.3,1486.9867,66.05053196347032,131071,3.0,37.0,447446.4861357588,330.5732296110194,175.39594843462243,59.70591620626151,Very Good
81,Schottenstein Center (0081),Columbus,40.00758091,-83.02513483,49.93978288183024,Very Good,0.0,0.831879797498325,0.3461140182648401,0.666065337534063,0.8153018344042914,17105.732,6674,3462716.5,1515.9794,65.38859817351599,626259,6.0,28.0,2599382.001186118,133.21306750681262,175.39594843462243,59.70591620626151,Very Good
73,Research Center (0073),Columbus,39.9990979,-83.0434438,49.33013126183812,Very Good,0.0,0.8182068034113685,0.3248417808219179,1.0,0.4918750373410363,9668.762,3804,2017836.8,1422.807,67.51582191780821,119119,2.0,77.0,885641.2552578202,227.8390700546786,175.39594843462243,59.70591620626151,Very Good
373,"Kinnear Rd, 1100 (0373)",Columbus,39.99874651,-83.03782313,48.367740267669944,Very Good,0.0,0.7899089529143168,0.3385129680365297,1.0,0.4566504722720955,1696.1754,618,344407.0,1482.6868,66.14870319634703,47376,1.0,66.0,131524.71618021495,261.857246305017,175.39594843462243,59.70591620626151,Very Good
159,Parking Garage - Lane Ave (0159),Columbus,40.00561224,-83.01617021,47.221053162902464,Very Good,0.0,0.7877621183615342,0.3306574657534247,1.0,0.3942567259197078,2594.7292,954,516158.8,1448.2797,66.93425342465753,445873,9.0,16.0,117214.70155885554,440.3532945402993,175.39594843462243,59.70591620626151,Very Good
246,Recreation and Physical Activity Center (0246),Columbus,39.9995101,-83.0183801,47.1765852394666,Very Good,0.0,0.7980857079611252,0.3304760045662101,0.5399126548208492,0.8344155084534348,17546.336,6585,3527292.8,1447.4849,66.95239954337899,279856,5.0,21.0,3266540.21581547,107.98253096416984,175.39594843462243,59.70591620626151,Very Good
1011,Schumaker Complex (1011),Columbus,40.012599,-83.025498,46.921466977088,Very Good,0.0,0.8276175033974837,0.3258024885844747,0.869286021557187,0.4450459531402405,5887.1846,2353,1287537.4,1427.0149,67.41975114155252,114315,2.0,8.0,740571.7842405784,173.8572043114374,175.39594843462243,59.70591620626151,Very Good
278,Parking Garage - Arps (0278),Columbus,40.00276967,-83.00996725,46.02963227770559,Very Good,0.0,0.8256604658247965,0.3255187442922374,1.0,0.2585163830827289,582.27936,232,128333.24,1425.7721,67.44812557077626,323165,6.0,59.0,38474.398003057766,333.5549005595895,175.39594843462243,59.70591620626151,Very Good
